KP,US,-3
KP,GB,-2
KP,RU,1
KP,KR,-2
KP,FR,-2
KP,DE,-2
KP,CN,3
KP,IT,-1
KP,JP,-2
KP,AU,-1
US,CU,-2
US,RU,-2
US,IL,4
US,IR,-3
IR,IQ,1
IL,IQ,-1
IL,IR,-3
SA,IL,-1
IR,IL,-3
PK,IL,-1
SY,IL,-3
SY,IL,-1
IN,PK,-1
JP,CN,0
JP,KR,1
JP,AU,-1
JP,FR,3
KR,FR,2
CN,KR,1
CN,US,-2
CN,CA,1
GB,PT,3
GB,ES,3
GB,GR,3
GB,TR,2
IE,TR,2
NL,TR,2
DE,TR,2
FR,TR,1
NO,TR,2
SE,TR,2
DK,TR,2
RU,DE,-1
RU,PT,-2
RU,ES,-2
RU,GR,-1
RU,GB,-2
RU,FR,-2
RU,IT,-2
RU,NL,-3
RU,BE,-2
RU,AT,-2
RU,PL,-2
RU,KR,-2
RU,JP,-2
VI,VG,3
VI,US,3
VI,PR,3
TW,HK,3